gpssec acc_x(m/s^2) acc_y(m/s^2) acc_z(m/s^2) gyro_x(rad/s) gyro_y(rad/s)  gyro_z(rad/s)
72478.845670 -0.505432 0.119629 -9.986023 -0.003020 0.000671 -0.001678
72478.855948 -0.478516 0.146545 -10.033875 -0.005033 0.000503 -0.001342
72478.867034 -0.457581 0.164490 -10.087708 -0.003020 0.000336 -0.001007
72478.879506 -0.457581 0.128601 -10.033875 -0.003691 0.001007 -0.002349
72478.885935 -0.472534 0.131592 -10.006958 -0.001342 0.001678 -0.003691
72478.895920 -0.517395 0.110657 -10.045837 -0.002684 0.002684 -0.002349
72478.905678 -0.523376 0.119629 -10.081726 -0.002684 0.003356 -0.002013
72478.915934 -0.466553 0.203369 -10.042847 -0.002013 -0.000336 -0.001678
72478.925666 -0.439636 0.194397 -9.997986 -0.006040 -0.000336 -0.003020
72478.935919 -0.451599 0.110657 -10.045837 -0.003356 -0.002684 -0.001678
72478.945650 -0.487488 0.122620 -10.108643 -0.001678 -0.000671 -0.000336
72478.955930 -0.517395 0.131592 -10.069763 -0.001678 0.001007 -0.001007
72478.967014 -0.487488 0.131592 -10.024902 -0.005704 0.001678 -0.002013
72478.979512 -0.433655 0.203369 -10.042847 -0.003356 0.001846 -0.002684
72478.985942 -0.442627 0.182434 -10.048828 -0.004027 0.002013 -0.003691
72478.995928 -0.475525 0.131592 -10.054810 -0.001342 0.002013 -0.002349
72479.000000 -0.486787 0.145357 -10.061066 -0.001202 0.000048 -0.001506
72479.005660 -0.502441 0.164490 -10.069763 -0.001007 -0.002684 -0.000336
72479.015914 -0.529358 0.158508 -10.039856 -0.004027 0.000336 0.000336
72479.025635 -0.523376 0.131592 -10.024902 -0.004362 0.000336 -0.003020
72479.035925 -0.487488 0.179443 -10.054810 -0.002349 0.001007 -0.002349
72479.045650 -0.448608 0.194397 -10.060791 -0.005033 0.002349 -0.003523
72479.055907 -0.448608 0.164490 -10.048828 -0.004362 0.000336 -0.004698
72479.067000 -0.475525 0.146545 -10.048828 -0.002684 -0.001007 -0.000671
72479.079492 -0.520386 0.116638 -10.039856 -0.005369 0.004027 0.001342
72479.085918 -0.508423 0.164490 -10.057800 -0.004362 0.001342 0.001342
72479.095898 -0.463562 0.236267 -10.057800 -0.001007 0.001510 -0.001678
72479.105685 -0.463562 0.185425 -10.018921 -0.003691 0.001678 -0.005033
72479.115917 -0.490479 0.125610 -10.027893 -0.004362 -0.001342 -0.001678
72479.125646 -0.502441 0.143555 -10.072754 -0.001342 -0.001342 -0.002013
72479.135907 -0.520386 0.146545 -10.060791 -0.004362 -0.000336 -0.002013
72479.145635 -0.487488 0.179443 -10.030884 -0.003020 0.000671 -0.001342
72479.155891 -0.442627 0.197388 -10.033875 -0.003356 0.002013 -0.001342
72479.167026 -0.460571 0.140564 -10.036865 -0.001007 0.001007 -0.001342
72479.179470 -0.478516 0.134583 -10.072754 -0.001678 0.000000 -0.004027
72479.185900 -0.496460 0.167480 -10.060791 -0.004027 -0.001007 -0.004027
72479.195884 -0.511414 0.143555 -10.006958 -0.002349 -0.000671 -0.001342
72479.205616 -0.493469 0.143555 -10.021912 -0.003356 0.003020 -0.000839
72479.215898 -0.466553 0.179443 -10.072754 -0.005369 0.002181 -0.000336
72479.225626 -0.451599 0.170471 -10.066772 -0.005704 0.001342 -0.000671
72479.235886 -0.460571 0.146545 -10.039856 -0.001342 0.002013 -0.002349
72479.245616 -0.493469 0.134583 -10.042847 -0.001678 -0.001342 -0.005033
72479.255874 -0.517395 0.125610 -10.045837 -0.003356 -0.001678 -0.002013
72479.266987 -0.496460 0.176453 -10.048828 -0.005033 0.001342 -0.000336
72479.279480 -0.478516 0.218323 -10.036865 -0.005704 0.003356 -0.001007
72479.285907 -0.487488 0.146545 -10.018921 -0.005369 0.001678 -0.001007
72479.295894 -0.481506 0.101685 -10.051819 -0.003020 -0.001678 -0.000671
72479.305622 -0.505432 0.131592 -10.075745 -0.004362 -0.001007 -0.001342
72479.315877 -0.517395 0.143555 -10.057800 -0.000671 0.001678 -0.005369
72479.325608 -0.466553 0.191406 -10.027893 -0.001678 0.003020 -0.006376
72479.335896 -0.436646 0.188416 -10.009949 -0.004362 0.001007 0.000336
72479.345600 -0.469543 0.098694 -10.045837 -0.003020 -0.001007 0.002013
72479.355874 -0.505432 0.116638 -10.096680 -0.002684 0.000336 -0.002684
72479.366956 -0.508423 0.173462 -10.048828 -0.002684 0.001007 -0.000671
72479.379453 -0.502441 0.134583 -9.986023 -0.004027 0.001678 0.000336
72479.385881 -0.469543 0.140564 -10.063782 -0.003356 0.000503 -0.003691
72479.395867 -0.445618 0.185425 -10.117615 -0.001007 -0.000671 -0.003356
72479.405598 -0.439636 0.155518 -10.045837 -0.001342 0.002349 -0.004027
72479.415852 -0.457581 0.125610 -10.006958 -0.002684 0.003020 -0.005033
72479.425594 -0.505432 0.125610 -10.051819 -0.003691 -0.002684 0.000671
72479.435840 -0.526367 0.119629 -10.081726 -0.005704 -0.002013 0.002013
72479.445602 -0.490479 0.179443 -10.039856 -0.004027 0.003691 -0.000671
72479.455861 -0.460571 0.212341 -10.000977 -0.003020 0.000336 -0.000336
72479.466936 -0.475525 0.149536 -10.033875 -0.003020 0.000671 -0.001342
72479.479442 -0.502441 0.116638 -10.075745 -0.002684 0.001007 -0.006376
72479.485864 -0.532349 0.119629 -10.045837 -0.003020 -0.001007 -0.002684
72479.495850 -0.517395 0.134583 -10.024902 -0.002684 0.001342 -0.000671
72479.505588 -0.478516 0.209351 -10.036865 -0.005704 -0.002349 -0.001510
